20260202 030100;25366.75;25376.75;25364;25372.75;182
20260202 030200;25371.25;25386.75;25370;25371.5;308
20260202 030300;25371.25;25382.5;25368.75;25382.5;138
20260202 030400;25383.25;25386.75;25377.75;25386.25;132
20260202 030500;25386;25386;25375.5;25375.5;87
20260202 030600;25374.75;25375.5;25363.75;25368.75;206
20260202 030700;25369.5;25381;25367.5;25375.25;128
20260202 030800;25374.75;25383.5;25371.75;25378;107
20260202 030900;25378.75;25383;25371.25;25373;121
20260202 031000;25372.5;25377.5;25366.5;25377.5;84
20260202 031100;25377.25;25378;25363;25364.25;225
20260202 031200;25364.75;25369;25363.5;25366.75;127
20260202 031300;25366.75;25368;25360;25364.5;120
20260202 031400;25365.75;25368;25357.5;25360.25;190
20260202 031500;25361;25361;25315;25340;1358
20260202 031600;25339.5;25347.25;25339;25343.5;171
20260202 031700;25341;25351;25336;25350;222
20260202 031800;25350;25357;25347.25;25353.25;155
20260202 031900;25351.25;25355.25;25331;25333.25;343
20260202 032000;25331.5;25350;25331.5;25349.75;233
20260202 032100;25349.75;25352.75;25342.25;25344.25;146
20260202 032200;25343.75;25346.75;25337;25340;206
20260202 032300;25339.25;25345.5;25335.75;25341.25;77
20260202 032400;25343.25;25351;25336.25;25347.25;179
20260202 032500;25345;25358;25345;25354.75;126
20260202 032600;25353.25;25367;25353.25;25361;290
20260202 032700;25360.25;25364.5;25348.25;25354.75;207
20260202 032800;25355.5;25365;25352.75;25357.5;196
20260202 032900;25354.75;25354.75;25331.25;25335.5;333
20260202 033000;25335.75;25341.5;25325.5;25332.75;239
20260202 033100;25333.75;25341.25;25327.25;25330.75;217
20260202 033200;25330;25341.25;25321.75;25341.25;343
20260202 033300;25340.5;25343.5;25330;25334;170
20260202 033400;25333.75;25334.75;25308.75;25329.75;522
20260202 033500;25328.75;25339.25;25315.5;25320.75;341
20260202 033600;25321.75;25324.75;25301;25307.5;452
20260202 033700;25309.5;25311.5;25299.5;25306;346
20260202 033800;25305.75;25313.25;25301.75;25310;287
20260202 033900;25307.5;25312;25301;25310.25;149
20260202 034000;25309;25311.5;25300.5;25301.25;167
20260202 034100;25300;25305.5;25291;25292.75;377
20260202 034200;25293.5;25295.25;25282.5;25292.25;510
20260202 034300;25292.75;25293;25283;25285;126
20260202 034400;25286;25290;25283.25;25287.75;111
20260202 034500;25287.75;25304;25284;25298.5;283
20260202 034600;25299;25299;25286;25295;130
20260202 034700;25292;25295;25277;25280;276
20260202 034800;25279.25;25297.25;25277.75;25294;303
20260202 034900;25293.5;25315.25;25291.5;25313.25;302
20260202 035000;25313.5;25326;25313.25;25319.75;292
20260202 035100;25321;25321.25;25309.75;25311.5;250
20260202 035200;25309.5;25312.75;25289.75;25299.25;474
20260202 035300;25302.25;25302.75;25287.5;25291.5;216
20260202 035400;25291.25;25292;25281;25286;295
20260202 035500;25286.75;25305;25281;25296.25;361
20260202 035600;25296.5;25306;25293.5;25303;185
20260202 035700;25304;25311;25293.25;25295;177
20260202 035800;25292.25;25292.75;25267.75;25269.75;490
20260202 035900;25269.5;25275.25;25262.75;25274;241
20260202 040000;25275;25283.75;25269.5;25278.75;201
20260202 040100;25281.5;25286;25272.5;25281;172
20260202 040200;25281.75;25286.75;25258.5;25265.75;380
20260202 040300;25265.25;25270.25;25254.5;25263.5;324
20260202 040400;25263;25263;25236;25252.5;661
20260202 040500;25251.5;25255.5;25238.25;25240.5;424
20260202 040600;25238;25238.75;25222;25233.25;401
20260202 040700;25232.5;25246.75;25228.25;25238;306
20260202 040800;25239;25244.25;25216.25;25223;456
20260202 040900;25223.75;25244.75;25218;25243.75;274
20260202 041000;25246;25256.75;25242.25;25256.75;409
20260202 041100;25256.25;25257;25235.75;25244.75;335
20260202 041200;25244.25;25244.25;25229;25229.25;298
20260202 041300;25227.75;25233;25217.75;25233;310
20260202 041400;25233.5;25247.25;25232.25;25245.75;236
20260202 041500;25245;25258.5;25243.75;25254;284
20260202 041600;25254.25;25275;25247.5;25269.75;407
20260202 041700;25270;25292.25;25262.75;25291.25;497
20260202 041800;25291;25308;25287;25305.75;662
20260202 041900;25306;25318;25303.75;25312.75;602
20260202 042000;25313.5;25322.75;25313;25321;297
20260202 042100;25322.5;25324.25;25312;25316.5;228
20260202 042200;25317.5;25319.25;25303.75;25308.5;254
20260202 042300;25308.75;25315;25301;25312.25;246
20260202 042400;25312.5;25316;25306.25;25308;138
20260202 042500;25305.75;25319;25305.75;25313.25;87
20260202 042600;25314.5;25320.75;25310.75;25311.75;89
20260202 042700;25314;25332.25;25311;25313.5;385
20260202 042800;25314.75;25319;25307.75;25315;143
20260202 042900;25314.75;25320;25307;25307;90
