20250902 030100;23426.25;23429.5;23426.25;23427.75;42
20250902 030200;23427.5;23427.5;23426;23427.5;18
20250902 030300;23427;23428.25;23426;23428;39
20250902 030400;23428;23430.75;23423.75;23426.5;90
20250902 030500;23426.75;23426.75;23422.75;23424.25;35
20250902 030600;23423.25;23423.25;23418;23420.75;174
20250902 030700;23420.25;23421.25;23417.75;23421.25;79
20250902 030800;23420.75;23423.25;23419.75;23422;39
20250902 030900;23422;23422;23420;23421;17
20250902 031000;23421.25;23422.25;23418;23419.75;24
20250902 031100;23420;23421.75;23418.25;23418.25;61
20250902 031200;23418.5;23421.75;23416;23420;72
20250902 031300;23420.75;23421.5;23418.5;23420.5;22
20250902 031400;23420.75;23421;23418.5;23419.25;45
20250902 031500;23420.25;23424.5;23420.25;23423.75;46
20250902 031600;23423;23427.5;23422.75;23427.25;91
20250902 031700;23428;23437;23428;23437;183
20250902 031800;23436;23436;23432.25;23433.75;55
20250902 031900;23434.25;23436;23432;23433.25;41
20250902 032000;23432.25;23434.25;23430.75;23431.25;34
20250902 032100;23432;23432.5;23430.75;23432;47
20250902 032200;23430.75;23431.75;23429.25;23429.5;56
20250902 032300;23429.5;23431.75;23429.25;23429.75;29
20250902 032400;23430.25;23433;23430.25;23433;27
20250902 032500;23432.75;23433.5;23431.75;23433.5;26
20250902 032600;23433.5;23436.5;23433;23434.75;79
20250902 032700;23434.5;23435.25;23433.25;23434.25;29
20250902 032800;23434.25;23434.75;23432;23434.75;31
20250902 032900;23434.5;23434.75;23433;23433;10
20250902 033000;23432;23433.25;23431.5;23433.25;13
20250902 033100;23433;23434.25;23430;23430.75;75
20250902 033200;23432;23433.75;23432;23433;36
20250902 033300;23431.5;23433.25;23431.25;23431.75;15
20250902 033400;23431.75;23431.75;23428.5;23429.5;53
20250902 033500;23430.5;23430.5;23428.75;23430;30
20250902 033600;23429.75;23432.25;23429.75;23431.75;20
20250902 033700;23432;23433.25;23431.5;23433.25;26
20250902 033800;23433;23434.25;23431.75;23434.25;38
20250902 033900;23433.75;23434.25;23433;23433.75;18
20250902 034000;23433.5;23434.25;23432.75;23433.75;16
20250902 034100;23434;23436.75;23434;23435.75;52
20250902 034200;23436;23437.25;23435.5;23435.75;35
20250902 034300;23436.75;23439;23436.25;23438.5;62
20250902 034400;23438.25;23438.25;23435.75;23436.75;48
20250902 034500;23437.25;23437.5;23436;23437;15
20250902 034600;23436.75;23439;23436.75;23439;30
20250902 034700;23439;23441.25;23438.25;23440.25;78
20250902 034800;23439.25;23441.5;23437.5;23441.25;29
20250902 034900;23442;23442.25;23439;23439;36
20250902 035000;23439;23441.25;23438.25;23440.5;48
20250902 035100;23440.5;23441.25;23439.25;23439.25;40
20250902 035200;23439.25;23439.25;23436.5;23437.5;30
20250902 035300;23437.5;23439.25;23437.25;23437.25;18
20250902 035400;23438.5;23438.75;23438;23438;6
20250902 035500;23438.5;23440.5;23438.25;23440.5;13
20250902 035600;23441;23442;23439.75;23440.75;19
20250902 035700;23439.5;23440;23438.5;23439.5;22
20250902 035800;23439.75;23440.5;23438;23438.25;23
20250902 035900;23438.25;23440;23437.75;23439.25;19
20250902 040000;23438.75;23439.25;23437.5;23438.25;20
