sinal,data,hora,lado,entry,nivel,dist_nivel,range_dia_ate_toque,range_5c,range_15c,atr14,corpo_candle_ant,pavio_sup_ant,pavio_inf_ant,dir_candle_ant,seq_mesma_direcao,vel_1min,vel_3min,vel_5min,n_toques_antes_hoje,ordinal_toque,dist_abertura_sessao,excesso_sobre_nivel,hora_min_et,mfe60,mae60,mfe_flatten,pnl_real,motivo_real
NIV_L9,2026-06-01,11:04,LONG,30300.7,30291.5,9.2,175.25,50.25,159.5,30.57,13.5,8.5,10.0,-1,1,20.25,12.75,32.0,0,1,20.3,-0.5,604,146.8,5.2,392.3,59.0,Trailing
NIV_S10,2026-06-01,14:33,SHORT,30581.1,30595.25,14.15,328.0,68.75,82.0,16.16,9.25,7.25,7.25,-1,1,18.75,20.25,25.0,3,4,260.1,6.5,813,12.35,111.9,259.35,72.5,Trailing
NIV_S11,2026-06-01,16:36,SHORT,30590.5,30595.25,4.75,401.0,29.0,41.25,8.77,8.25,2.25,2.0,-1,2,5.25,18.75,25.75,122,123,269.5,6.25,936,51.0,10.5,272.75,39.0,Trailing
NIV_S12,2026-06-01,16:37,SHORT,30587.75,30595.25,7.5,401.0,28.25,46.0,8.79,5.0,5.75,0.75,-1,3,3.0,17.25,19.75,123,124,266.75,-1.0,937,48.25,13.25,270.0,27.5,Trailing
NIV_S13,2026-06-01,16:38,SHORT,30586.5,30595.25,8.75,401.0,29.25,48.0,8.95,3.5,3.0,2.5,-1,4,3.0,11.25,24.75,124,125,265.5,-2.75,938,47.0,14.5,268.75,-122.5,Stop
NIV_S14,2026-06-01,16:41,SHORT,30594.6,30595.25,0.65,401.0,17.75,48.0,9.43,1.75,2.5,2.0,1,2,5.0,8.75,2.75,127,128,273.6,2.5,941,55.35,2.15,276.85,26.0,Trailing
NIV_S15,2026-06-02,12:54,SHORT,30686.2,30693.0,6.8,265.5,30.25,32.0,10.93,4.75,1.25,4.25,1,2,4.25,19.75,16.75,0,1,140.2,-3.75,714,45.7,27.05,124.95,52.0,Trailing
NIV_S16,2026-06-02,12:55,SHORT,30687.0,30693.0,6.0,266.25,31.0,32.75,10.91,4.25,2.75,0.0,1,3,1.0,7.5,18.5,1,2,141.0,-3.0,715,46.5,26.25,125.75,20.5,Trailing
NIV_S17,2026-06-02,12:56,SHORT,30689.0,30693.0,4.0,267.5,25.0,34.0,11.0,1.0,3.5,5.0,-1,1,3.5,6.75,22.25,2,3,143.0,-1.75,716,48.5,24.25,127.75,57.5,Trailing
NIV_S18,2026-06-02,12:58,SHORT,30688.75,30693.0,4.25,273.25,17.25,39.75,11.02,0.75,7.5,1.0,-1,1,0.5,2.75,6.0,4,5,142.75,-3.75,718,48.25,24.5,127.5,30.0,Trailing
NIV_S19,2026-06-02,13:02,SHORT,30683.25,30693.0,9.75,274.0,18.0,38.75,10.64,3.0,1.5,7.0,1,1,9.75,12.75,5.5,8,9,137.25,0.0,722,42.75,30.0,122.0,51.0,Trailing
NIV_S20,2026-06-02,13:06,SHORT,30687.6,30693.0,5.4,274.0,24.75,31.5,9.96,3.0,1.25,5.0,1,1,12.5,14.0,4.25,9,10,141.6,-1.5,726,47.1,25.65,126.35,-129.0,Stop
NIV_S21,2026-06-02,13:16,SHORT,30691.25,30693.0,1.75,289.5,19.0,45.0,11.36,7.75,0.0,1.0,-1,1,9.75,6.75,6.75,19,20,145.25,7.25,736,50.75,12.0,130.0,45.0,Trailing
NIV_S22,2026-06-02,13:53,SHORT,30678.75,30693.0,14.25,289.5,22.25,46.0,9.98,2.75,5.25,3.0,-1,2,2.25,8.0,10.0,23,24,132.75,-9.75,774,70.0,24.5,117.5,37.5,Trailing
NIV_S20,2026-06-03,10:42,SHORT,30718.0,30719.25,1.25,141.75,71.5,141.75,33.84,9.25,0.75,31.75,-1,1,7.25,3.25,31.5,10,11,25.5,17.5,582,222.0,10.0,349.5,50.0,Trailing
NIV_S21,2026-06-03,11:31,SHORT,30715.15,30719.25,4.1,311.75,48.0,65.0,27.11,35.5,1.75,0.25,1,1,7.75,25.0,33.25,13,14,28.35,8.75,631,100.15,24.35,346.65,38.0,Trailing
