sinal,data,hora,lado,entry,nivel,dist_nivel,range_dia_ate_toque,range_5c,range_15c,atr14,corpo_candle_ant,dir_candle_ant,seq_mesma_direcao,vel_3min,excesso_sobre_nivel,hora_min_et,mfe60,mae60,pnl_real,motivo_real
NIV_L9,2026-06-01,11:04,LONG,30300.7,30291.0,9.7,171.25,47.25,155.0,31.12,13.75,-1,1,13.75,-5.0,604,149.05,5.7,59.0,Trailing
NIV_S10,2026-06-01,14:33,SHORT,30581.1,30595.0,13.9,323.5,67.25,80.5,16.18,9.25,-1,1,20.25,6.75,813,12.6,110.9,72.5,Trailing
NIV_S11,2026-06-01,16:36,SHORT,30590.5,30595.0,4.5,397.0,29.0,41.75,8.89,8.75,-1,2,19.0,6.5,936,51.25,10.5,39.0,Trailing
NIV_S12,2026-06-01,16:37,SHORT,30587.75,30595.0,7.25,397.0,29.25,47.5,9.07,4.75,-1,3,16.75,-0.25,937,48.5,13.25,27.5,Trailing
NIV_S13,2026-06-01,16:38,SHORT,30586.5,30595.0,8.5,397.0,29.25,48.25,9.23,3.0,-1,4,11.0,-2.25,938,47.25,14.5,-122.5,Stop
NIV_S14,2026-06-01,16:41,SHORT,30594.6,30595.0,0.4,397.0,17.5,48.25,9.41,0.75,1,2,8.75,3.0,941,55.35,2.4,26.0,Trailing
NIV_S15,2026-06-02,12:54,SHORT,30686.2,30692.0,5.8,264.75,28.25,31.0,10.62,4.5,1,2,19.75,-3.5,714,45.45,26.3,52.0,Trailing
NIV_S16,2026-06-02,12:55,SHORT,30687.0,30692.0,5.0,266.25,29.75,32.5,10.68,4.25,1,3,8.5,-2.0,715,46.25,25.5,20.5,Trailing
NIV_S17,2026-06-02,12:56,SHORT,30689.0,30692.0,3.0,267.25,25.0,33.5,10.71,1.0,-1,1,7.5,-1.0,716,48.25,23.5,57.5,Trailing
NIV_S18,2026-06-02,12:58,SHORT,30688.75,30692.0,3.25,273.25,17.5,39.5,10.71,0.75,-1,1,2.75,-2.75,718,48.0,23.75,30.0,Trailing
NIV_S19,2026-06-02,13:02,SHORT,30683.25,30692.0,8.75,274.25,18.0,37.75,10.45,3.0,1,1,12.5,1.25,722,42.5,29.25,51.0,Trailing
NIV_S20,2026-06-02,13:06,SHORT,30687.6,30692.0,4.4,274.25,25.25,32.0,10.04,2.75,1,1,13.0,-1.25,726,46.85,24.9,-129.0,Stop
NIV_S21,2026-06-02,13:16,SHORT,30691.25,30692.0,0.75,288.75,19.0,44.5,11.38,7.25,-1,1,5.75,8.5,736,50.5,11.75,45.0,Trailing
NIV_S22,2026-06-02,13:53,SHORT,30678.75,30692.0,13.25,288.75,22.25,45.5,10.11,2.5,-1,2,7.75,-8.5,774,69.75,24.25,37.5,Trailing
NIV_S20,2026-06-03,10:42,SHORT,30718.0,30719.0,1.0,141.25,70.75,141.25,34.16,10.5,-1,1,5.5,18.25,582,222.5,10.0,50.0,Trailing
NIV_S21,2026-06-03,11:31,SHORT,30715.15,30719.0,3.85,312.25,47.25,67.0,27.3,34.75,1,1,25.0,9.0,631,100.15,24.35,38.0,Trailing
NIV_S22,2026-06-03,11:32,SHORT,30717.35,30719.0,1.65,312.25,46.5,67.0,26.95,7.25,-1,1,30.5,5.25,632,102.35,22.15,66.0,Trailing
NIV_S23,2026-06-03,11:33,SHORT,30716.45,30719.0,2.55,312.25,40.75,67.0,26.45,3.25,1,1,5.75,1.0,633,101.45,23.05,4.0,Trailing
NIV_S24,2026-06-03,11:34,SHORT,30718.85,30719.0,0.15,312.25,40.75,67.0,24.79,1.75,-1,1,2.0,5.0,634,103.85,20.65,18.5,Trailing
NIV_L30,2026-06-04,14:12,LONG,30500.4,30495.5,4.9,348.5,32.5,37.0,10.41,3.0,-1,1,13.0,4.0,792,96.35,26.15,-124.0,Stop
NIV_L31,2026-06-04,14:26,LONG,30504.75,30495.5,9.25,353.25,29.5,31.25,10.54,1.25,1,3,21.0,4.0,806,93.75,4.0,40.0,Trailing
NIV_L32,2026-06-04,16:56,LONG,30497.1,30495.5,1.6,451.0,40.25,70.25,16.02,3.75,-1,3,28.5,2.0,956,7.65,100.1,39.0,Trailing
NIV_L34,2026-06-04,16:59,LONG,30499.0,30495.5,3.5,451.0,43.75,68.5,16.96,5.25,1,1,5.0,4.25,959,3.25,102.0,-131.0,Stop
NIV_S1,2026-06-08,11:37,SHORT,29593.25,29604.25,11.0,271.25,87.75,209.5,34.79,25.0,1,2,73.0,-1.75,637,65.75,149.75,44.5,Trailing
NIV_S2,2026-06-08,11:41,SHORT,29590.65,29604.25,13.6,271.25,48.5,123.25,30.45,11.5,1,1,9.75,-1.75,641,63.15,152.35,30.0,Trailing
NIV_S5,2026-06-08,13:01,SHORT,29595.95,29604.25,8.3,411.75,44.0,119.0,24.54,10.0,1,1,18.0,13.5,721,49.95,97.05,54.5,Trailing
NIV_S6,2026-06-08,13:11,SHORT,29598.2,29604.25,6.05,411.75,52.75,69.75,23.98,4.25,-1,3,33.75,12.75,731,105.45,94.8,-130.5,Stop
NIV_S14,2026-06-09,10:55,SHORT,29731.2,29743.0,11.8,213.75,119.5,187.75,31.77,27.0,-1,1,60.75,41.0,595,647.45,15.55,37.0,Trailing
NIV_S16,2026-06-11,15:18,SHORT,29237.2,29251.0,13.8,724.5,109.0,179.0,37.7,21.0,1,8,56.25,-3.25,858,86.45,155.8,18.5,Trailing
NIV_S21,2026-06-12,11:14,SHORT,29527.45,29542.25,14.8,366.75,85.5,261.75,47.48,37.5,-1,2,69.25,13.25,614,174.95,155.8,-115.0,Stop
NIV_S24,2026-06-12,11:27,SHORT,29528.15,29542.25,14.1,396.25,81.75,141.25,45.29,39.25,1,1,25.25,10.0,627,175.65,231.1,21.5,Trailing
