sl_pts,tp_pts,be_trig,be_lock,trail,dd_max,n,wr,gm,pm,ratio,pnl,tp,be,sl
8.0,10.0,4.0,1.2,2.4,5175.500000002357,363,59.50413223140496,39.27083333332215,-91.0,0.43154761904749617,-4894.500000002416,50,166,147
8.0,15.0,4.0,1.2,2.4,4753.000000002823,360,59.44444444444444,41.47663551400509,-91.0,0.45578720345060536,-4410.00000000291,14,200,146
8.0,20.0,4.0,1.2,2.4,4544.000000002954,360,59.44444444444444,42.34112149531282,-91.0,0.465287049399042,-4225.000000003056,4,210,146
8.0,25.0,4.0,1.2,2.4,4395.500000002969,360,59.44444444444444,43.03504672895762,-91.0,0.47291260141711666,-4076.5000000030705,3,211,146
8.0,30.0,4.0,1.2,2.4,4368.500000002998,360,59.44444444444444,43.16121495325655,-91.0,0.4742990654204016,-4049.5000000030996,1,213,146
8.0,40.0,4.0,1.2,2.4,4268.500000002998,360,59.44444444444444,43.62850467288271,-91.0,0.4794341172844254,-3949.5000000030996,1,213,146
10.0,10.0,5.0,1.5,3.0,5531.5,332,61.44578313253012,45.22549019607843,-111.0,0.4074368486133192,-4982.0,58,146,128
10.0,15.0,5.0,1.5,3.0,4995.0,328,61.58536585365854,47.70049504950495,-111.0,0.42973418963517973,-4350.5,18,184,126
10.0,20.0,5.0,1.5,3.0,4837.5,328,61.58536585365854,48.195544554455445,-111.0,0.4341940950851842,-4250.5,5,197,126
10.0,25.0,5.0,1.5,3.0,4717.5,328,61.58536585365854,48.789603960396036,-111.0,0.43954598162518954,-4130.5,3,199,126
10.0,30.0,5.0,1.5,3.0,4702.5,328,61.58536585365854,48.863861386138616,-111.0,0.44021496744269023,-4115.5,1,201,126
10.0,40.0,5.0,1.5,3.0,4665.0,328,61.58536585365854,49.35891089108911,-111.0,0.4446748728926947,-4015.5,1,201,126
12.5,10.0,6.25,1.875,3.75,5758.0,310,62.903225806451616,55.666666666666664,-136.0,0.40931372549019607,-4785.0,89,106,115
12.5,15.0,6.25,1.875,3.75,5632.0,303,62.70627062706271,56.078947368421055,-136.0,0.41234520123839014,-4713.0,27,163,113
12.5,20.0,6.25,1.875,3.75,5484.5,303,62.70627062706271,56.89473684210526,-136.0,0.418343653250774,-4558.0,10,180,113
12.5,25.0,6.25,1.875,3.75,5439.5,303,62.70627062706271,57.6578947368421,-136.0,0.4239551083591331,-4413.0,5,185,113
12.5,30.0,6.25,1.875,3.75,5497.0,303,62.70627062706271,57.48684210526316,-136.0,0.42269736842105265,-4445.5,1,189,113
12.5,40.0,6.25,1.875,3.75,5497.0,303,62.70627062706271,58.01315789473684,-136.0,0.4265673374613003,-4345.5,1,189,113
15.0,10.0,7.5,2.25,4.5,4859.5,279,64.87455197132617,64.74585635359117,-161.0,0.4021481761092619,-4059.0,109,72,98
15.0,15.0,7.5,2.25,4.5,4841.5,269,64.68401486988847,63.97126436781609,-161.0,0.39733704576283285,-4164.0,34,140,95
15.0,20.0,7.5,2.25,4.5,4536.5,269,64.68401486988847,66.08333333333333,-161.0,0.410455486542443,-3796.5,17,157,95
15.0,25.0,7.5,2.25,4.5,4439.0,269,64.68401486988847,67.50574712643679,-161.0,0.41929035482258875,-3549.0,9,165,95
15.0,30.0,7.5,2.25,4.5,4399.0,269,64.68401486988847,68.15229885057471,-161.0,0.4233062040408367,-3436.5,5,169,95
15.0,40.0,7.5,2.25,4.5,4436.5,269,64.68401486988847,68.2816091954023,-161.0,0.42410937388448633,-3414.0,1,173,95
20.0,10.0,10.0,3.0,6.0,5264.0,252,64.28571428571429,89.0,-211.0,0.4218009478672986,-4572.0,162,0,90
20.0,15.0,10.0,3.0,6.0,5322.0,239,64.01673640167364,88.55882352941177,-211.0,0.41971006412043493,-4596.5,67,86,86
20.0,20.0,10.0,3.0,6.0,5651.0,237,63.71308016877637,87.82450331125828,-211.0,0.41622987351307245,-4884.5,29,122,86
20.0,25.0,10.0,3.0,6.0,5616.0,237,63.71308016877637,89.33112582781457,-211.0,0.42337026458679894,-4657.0,15,136,86
20.0,30.0,10.0,3.0,6.0,5466.0,237,63.71308016877637,91.00331125827815,-211.0,0.43129531402027554,-4404.5,9,142,86
20.0,40.0,10.0,3.0,6.0,5352.5,237,63.71308016877637,93.12251655629139,-211.0,0.44133894102507765,-4084.5,4,147,86
