data,sinal,lado,entry,fav,saida,pnl,mfe,saida_25,extra_mfe,tempo_extra_mfe_min,hit_tp_depois,hit_sl_orig_depois,voltou_ate_entry_depois,classe
2026-06-01,NIV_S10,SHORT,30581.1,30572.0,30573.75,72.5,9.099999999998545,False,142.75,262,True,True,True,D) BE PROBLEMATICO
2026-06-01,NIV_S11,SHORT,30590.5,30584.25,30586.0,39.0,6.25,False,235.25,293,True,False,True,D) BE PROBLEMATICO
2026-06-01,NIV_S12,SHORT,30587.75,30583.5,30585.25,27.5,4.25,True,234.5,292,True,True,True,D) BE PROBLEMATICO
2026-06-02,NIV_S15,SHORT,30686.2,30679.5,30681.25,52.0,6.700000000000728,False,82.75,166,True,True,True,D) BE PROBLEMATICO
2026-06-02,NIV_S17,SHORT,30689.0,30680.0,30681.75,57.5,9.0,False,83.25,163,True,True,True,D) BE PROBLEMATICO
2026-06-02,NIV_S19,SHORT,30683.25,30674.75,30676.5,51.0,8.5,False,78.0,158,True,True,True,D) BE PROBLEMATICO
2026-06-02,NIV_S21,SHORT,30691.25,30687.0,30688.75,45.0,4.25,True,90.25,144,True,True,True,D) BE PROBLEMATICO
2026-06-02,NIV_S22,SHORT,30678.75,30673.25,30675.0,37.5,5.5,False,76.5,105,True,True,True,D) BE PROBLEMATICO
2026-06-04,NIV_L31,LONG,30504.75,30509.5,30507.75,40.0,4.75,False,95.5,124,True,True,True,D) BE PROBLEMATICO
2026-06-04,NIV_L32,LONG,30497.1,30502.5,30500.75,39.0,5.400000000001455,False,1.5,1,False,True,True,A) BE CORRETO
2026-06-11,NIV_S18,SHORT,29247.1,29241.75,29243.5,24.0,5.349999999998545,False,14.0,19,False,True,True,D) BE PROBLEMATICO
