data,hora,dow,lado,entry,saida,pts,usd,motivo,mfe,mae,dur_bars,be_ativado,n_hi,n_lo,nivel,dist_nivel,gap_entrada,close_sinal
2025-06-13,11:48,4,LONG,22050.75,22060.5,9.75,91.5,TRAIL,11.75,8.75,4,True,22202.0,22043.75,22043.75,7.25,-0.25,22051.0
2025-06-13,11:56,4,LONG,22044.25,22054.75,10.5,99.0,TRAIL,12.5,10.25,2,True,22202.0,22043.75,22043.75,0.5,0.0,22044.25
2025-06-13,12:01,4,LONG,22047.25,22053.75,6.5,59.0,TRAIL,8.25,9.0,2,True,22202.0,22043.75,22043.75,3.75,-0.25,22047.5
2025-06-13,12:07,4,LONG,22053.0,22058.25,5.25,46.5,TRAIL,7.0,4.5,2,True,22202.0,22043.75,22043.75,8.5,0.75,22052.25
2025-06-13,12:28,4,LONG,22051.0,22038.5,-12.5,-131.0,SL,0.5,15.5,1,False,22202.0,22043.75,22043.75,8.0,-0.75,22051.75
2025-06-13,12:31,4,LONG,22046.0,22049.75,3.75,31.5,TRAIL,5.5,2.75,1,True,22202.0,22043.75,22043.75,1.25,1.0,22045.0
2025-06-13,12:34,4,LONG,22048.5,22052.25,3.75,31.5,TRAIL,6.75,0.0,1,True,22202.0,22043.75,22043.75,5.25,-0.5,22049.0
2025-06-13,12:53,4,LONG,22041.25,22053.75,12.5,119.0,TRAIL,14.25,4.0,1,True,22202.0,22043.75,22043.75,0.25,-2.75,22044.0
2025-06-13,12:56,4,LONG,22051.0,22060.25,9.25,86.5,TRAIL,13.25,0.25,1,True,22202.0,22043.75,22043.75,9.75,-2.5,22053.5
2025-06-13,13:00,4,LONG,22046.0,22049.0,3.0,24.0,TRAIL,4.75,3.5,1,True,22202.0,22043.75,22043.75,4.25,-2.0,22048.0
2025-06-13,13:03,4,LONG,22048.75,22052.75,4.0,34.0,TRAIL,5.75,6.25,1,True,22202.0,22043.75,22043.75,5.5,-0.5,22049.25
2025-06-17,13:02,1,LONG,22021.5,22030.5,9.0,84.0,TRAIL,22.25,5.25,1,True,22222.0,22012.0,22012.0,10.0,-0.5,22022.0
2025-06-17,13:07,1,LONG,22025.0,22033.75,8.75,81.5,TRAIL,17.75,5.25,1,True,22222.0,22012.0,22012.0,13.75,-0.75,22025.75
2025-06-17,13:30,1,LONG,22014.75,22002.25,-12.5,-131.0,SL,2.25,25.0,0,False,22222.0,22012.0,22012.0,2.5,0.25,22014.5
2025-06-17,13:32,1,LONG,22025.0,22034.0,9.0,84.0,TRAIL,13.0,8.25,2,True,22222.0,22012.0,22012.0,12.5,0.5,22024.5
2025-06-17,13:41,1,LONG,22024.75,22038.0,13.25,126.5,TRAIL,15.0,3.0,1,True,22222.0,22012.0,22012.0,13.0,-0.25,22025.0
2025-06-17,13:44,1,LONG,22017.0,22004.5,-12.5,-131.0,SL,4.0,14.25,0,False,22222.0,22012.0,22012.0,5.25,-0.25,22017.25
2025-06-18,14:58,2,LONG,21919.5,21907.0,-12.5,-131.0,SL,15.0,28.5,0,False,22135.0,21909.5,21909.5,9.75,0.25,21919.25
2025-06-18,15:00,2,LONG,21917.5,21905.0,-12.5,-131.0,SL,1.0,29.5,0,False,22135.0,21909.5,21909.5,8.0,0.0,21917.5
2025-06-18,15:02,2,LONG,21915.0,21932.25,17.25,166.5,TRAIL,24.0,9.25,1,True,22135.0,21909.5,21909.5,5.25,0.25,21914.75
2025-06-20,11:01,4,SHORT,21782.0,21794.5,-12.5,-131.0,SL,6.0,13.0,0,False,21786.75,21650.25,21786.75,5.25,-0.5,21781.5
2025-06-20,11:04,4,SHORT,21786.75,21778.75,8.0,74.0,TRAIL,9.75,32.0,1,True,21786.75,21650.25,21786.75,0.25,-0.25,21786.5
2025-06-20,13:34,4,SHORT,21784.25,21796.75,-12.5,-131.0,SL,0.5,13.25,0,False,21786.75,21650.25,21786.75,1.5,1.0,21785.25
2025-06-20,13:37,4,SHORT,21783.5,21766.75,16.75,161.5,TRAIL,18.5,0.5,1,True,21786.75,21650.25,21786.75,2.75,0.5,21784.0
2025-06-23,10:01,0,SHORT,21931.5,21944.0,-12.5,-131.0,SL,0.0,18.75,0,False,21944.25,21566.75,21944.25,14.0,-1.25,21930.25
2025-06-23,11:43,0,SHORT,21941.0,21935.5,5.5,49.0,TRAIL,7.25,10.0,3,True,21944.25,21566.75,21944.25,3.0,0.25,21941.25
2025-06-23,11:48,0,SHORT,21940.5,21953.0,-12.5,-131.0,SL,1.5,12.5,2,False,21944.25,21566.75,21944.25,3.0,0.75,21941.25
2025-06-23,11:55,0,SHORT,21943.5,21956.0,-12.5,-131.0,SL,5.5,16.0,0,False,21944.25,21566.75,21944.25,0.25,0.5,21944.0
2025-06-23,12:00,0,SHORT,21938.75,21931.75,7.0,64.0,TRAIL,15.25,4.0,1,True,21944.25,21566.75,21944.25,5.75,-0.25,21938.5
