trail,alvo,n,wr,gm,pm,ratio,pnl
1.75,20.0,453,49.668874172185426,132.63333333333333,-136.0,0.9752450980392157,-1165.5
1.75,30.0,451,49.44567627494457,161.7578475336323,-136.0,1.1893959377472962,5064.0
1.75,40.0,451,49.44567627494457,180.49103139013454,-136.0,1.3271399366921657,9241.5
1.75,60.0,451,49.44567627494457,201.07399103139014,-136.0,1.4784852281719862,13831.5
3.0,20.0,453,49.668874172185426,127.7,-136.0,0.9389705882352941,-2275.5
3.0,30.0,451,49.44567627494457,154.4932735426009,-136.0,1.135979952519124,3444.0
3.0,40.0,451,49.44567627494457,172.32959641255604,-136.0,1.2671293853864416,7421.5
3.0,60.0,451,49.44567627494457,191.7354260089686,-136.0,1.409819308889475,11749.0
5.0,20.0,453,49.668874172185426,120.6,-136.0,0.8867647058823529,-3873.0
5.0,30.0,451,49.44567627494457,143.38340807174887,-136.0,1.0542897652334475,966.5
5.0,40.0,451,49.44567627494457,159.96412556053812,-136.0,1.1762068055921922,4664.0
5.0,60.0,451,49.44567627494457,177.31838565022423,-136.0,1.3038116591928253,8534.0
8.0,20.0,453,49.668874172185426,115.82222222222222,-136.0,0.8516339869281045,-4948.0
8.0,30.0,451,49.44567627494457,138.14798206278027,-136.0,1.0157939857557372,-201.0
8.0,40.0,451,49.44567627494457,154.347533632287,-136.0,1.134908335531522,3411.5
8.0,60.0,450,49.333333333333336,171.16216216216216,-136.0,1.2585453100158983,6990.0
