trail,alvo,n,wr,gm,pm,ratio,pnl
1.75,20.0,1090,66.23853211009174,80.72091412742382,-136.0,0.5935361332898811,8232.5
1.75,30.0,1084,66.60516605166052,87.97160664819944,-136.0,0.6468500488838194,14283.5
1.75,40.0,1084,66.60516605166052,91.58656509695291,-136.0,0.673430625712889,16893.5
1.75,60.0,1084,66.60516605166052,93.75415512465374,-136.0,0.6893687876812775,18458.5
3.0,20.0,1090,66.23853211009174,74.14889196675901,-136.0,0.5452124409320516,3487.5
3.0,30.0,1084,66.60516605166052,81.13642659279779,-136.0,0.5965913720058661,9348.5
3.0,40.0,1084,66.60516605166052,84.8691135734072,-136.0,0.6240375998044647,12043.5
3.0,60.0,1084,66.60516605166052,86.87396121883657,-136.0,0.6387791266090924,13491.0
5.0,20.0,1087,66.23735050597976,68.98263888888889,-136.0,0.5072252859477124,-244.5
5.0,30.0,1081,66.6049953746531,75.78472222222223,-136.0,0.5572406045751634,5469.0
5.0,40.0,1081,66.6049953746531,79.53819444444444,-136.0,0.5848396650326797,8171.5
5.0,60.0,1081,66.6049953746531,81.60763888888889,-136.0,0.6000561683006536,9661.5
8.0,20.0,1087,66.05335786568537,65.73398328690807,-136.0,0.4833381124037358,-2987.0
8.0,30.0,1081,66.41998149861239,69.96100278551532,-136.0,0.5144191381287891,864.0
8.0,40.0,1081,66.41998149861239,73.56476323119777,-136.0,0.5409173766999836,3451.5
8.0,60.0,1081,66.41998149861239,75.0550139275766,-136.0,0.5518751024086515,4521.5
