data,tipo,ts_et,ts_utc,symbol,open,high,low,close,volume
2024-09-13,primeira_barra_do_dia_ET,2024-09-13 00:00:00 EDT,2024-09-13 04:00:00,MNQU4,19450.75,19452.0,19449.25,19449.5,93
2024-09-13,ultima_barra_do_dia_ET,2024-09-13 16:59:00 EDT,2024-09-13 20:59:00,MNQU4,19506.5,19507.0,19502.0,19504.0,252
2024-09-13,bar_ET_09:29,2024-09-13 09:29:00 EDT,2024-09-13 13:29:00,MNQU4,19428.75,19428.75,19406.0,19409.0,3220
2024-09-13,bar_ET_09:30,2024-09-13 09:30:00 EDT,2024-09-13 13:30:00,MNQU4,19409.25,19425.5,19396.0,19419.5,6371
2024-09-13,bar_ET_09:31,2024-09-13 09:31:00 EDT,2024-09-13 13:31:00,MNQU4,19419.0,19429.5,19403.75,19409.25,4924
2024-09-13,bar_ET_15:59,2024-09-13 15:59:00 EDT,2024-09-13 19:59:00,MNQU4,19538.5,19539.25,19524.25,19527.25,3427
2024-09-13,bar_ET_16:00,2024-09-13 16:00:00 EDT,2024-09-13 20:00:00,MNQU4,19527.75,19528.0,19517.75,19519.5,3010
2024-09-13,bar_ET_17:59,(sem barra),,,,,,,
2024-09-13,bar_ET_18:00,(sem barra),,,,,,,
2024-09-18,primeira_barra_do_dia_ET,2024-09-18 00:00:00 EDT,2024-09-18 04:00:00,MNQZ4,19687.0,19688.75,19685.0,19686.5,176
2024-09-18,ultima_barra_do_dia_ET,2024-09-18 23:59:00 EDT,2024-09-19 03:59:00,MNQZ4,19858.5,19869.0,19857.75,19865.0,696
2024-09-18,bar_ET_09:29,2024-09-18 09:29:00 EDT,2024-09-18 13:29:00,MNQZ4,19733.5,19735.0,19726.5,19730.75,1014
2024-09-18,bar_ET_09:30,2024-09-18 09:30:00 EDT,2024-09-18 13:30:00,MNQZ4,19731.0,19736.75,19713.0,19725.75,5789
2024-09-18,bar_ET_09:31,2024-09-18 09:31:00 EDT,2024-09-18 13:31:00,MNQZ4,19725.75,19725.75,19710.0,19712.25,5072
2024-09-18,bar_ET_15:59,2024-09-18 15:59:00 EDT,2024-09-18 19:59:00,MNQZ4,19584.5,19597.0,19571.0,19583.75,4235
2024-09-18,bar_ET_16:00,2024-09-18 16:00:00 EDT,2024-09-18 20:00:00,MNQZ4,19583.25,19589.25,19568.0,19581.75,2732
2024-09-18,bar_ET_17:59,(sem barra),,,,,,,
2024-09-18,bar_ET_18:00,2024-09-18 18:00:00 EDT,2024-09-18 22:00:00,MNQZ4,19646.0,19649.25,19636.25,19645.0,585
2024-09-24,primeira_barra_do_dia_ET,2024-09-24 00:00:00 EDT,2024-09-24 04:00:00,MNQZ4,20050.5,20055.0,20050.5,20054.25,132
2024-09-24,ultima_barra_do_dia_ET,2024-09-24 23:59:00 EDT,2024-09-25 03:59:00,MNQZ4,20125.25,20128.5,20125.25,20128.25,128
2024-09-24,bar_ET_09:29,2024-09-24 09:29:00 EDT,2024-09-24 13:29:00,MNQZ4,20140.0,20140.25,20130.75,20135.0,1289
2024-09-24,bar_ET_09:30,2024-09-24 09:30:00 EDT,2024-09-24 13:30:00,MNQZ4,20135.25,20154.0,20132.0,20142.5,7386
2024-09-24,bar_ET_09:31,2024-09-24 09:31:00 EDT,2024-09-24 13:31:00,MNQZ4,20142.0,20144.25,20120.0,20122.5,8168
2024-09-24,bar_ET_15:59,2024-09-24 15:59:00 EDT,2024-09-24 19:59:00,MNQZ4,20152.5,20174.5,20150.75,20171.0,5858
2024-09-24,bar_ET_16:00,2024-09-24 16:00:00 EDT,2024-09-24 20:00:00,MNQZ4,20170.5,20172.25,20163.75,20165.75,2556
2024-09-24,bar_ET_17:59,(sem barra),,,,,,,
2024-09-24,bar_ET_18:00,2024-09-24 18:00:00 EDT,2024-09-24 22:00:00,MNQZ4,20184.25,20187.75,20181.0,20183.25,443
2024-09-27,primeira_barra_do_dia_ET,2024-09-27 00:00:00 EDT,2024-09-27 04:00:00,MNQZ4,20320.25,20321.5,20318.75,20319.5,126
2024-09-27,ultima_barra_do_dia_ET,2024-09-27 16:59:00 EDT,2024-09-27 20:59:00,MNQZ4,20198.25,20199.5,20192.0,20194.0,315
2024-09-27,bar_ET_09:29,2024-09-27 09:29:00 EDT,2024-09-27 13:29:00,MNQZ4,20379.0,20382.5,20375.75,20377.25,796
2024-09-27,bar_ET_09:30,2024-09-27 09:30:00 EDT,2024-09-27 13:30:00,MNQZ4,20377.0,20383.0,20346.25,20354.75,7984
2024-09-27,bar_ET_09:31,2024-09-27 09:31:00 EDT,2024-09-27 13:31:00,MNQZ4,20355.0,20361.0,20342.25,20349.75,6158
