idx,data,lado,entry,nivel,dist_nivel,range_5c,range_15c,atr14,corpo_candle_ant,seq_mesma_direcao,vel_3min,excesso_sobre_nivel,hora_min_et,mfe60,mae60
1814,2025-06-13,LONG,22050.75,22043.75,7.0,24.25,46.0,10.61,4.75,2,20.25,7.25,708,24.0,31.75
1815,2025-06-13,LONG,22047.0,22043.75,3.25,24.25,46.0,10.2,8.75,3,10.25,5.0,709,27.75,28.0
1816,2025-06-13,LONG,22049.0,22043.75,5.25,24.25,46.0,9.41,2.0,1,4.75,3.25,710,25.75,30.0
1817,2025-06-13,LONG,22053.25,22043.75,9.5,19.0,46.0,9.14,0.0,1,1.75,9.0,711,21.5,34.25
1822,2025-06-13,LONG,22044.25,22043.75,0.5,20.25,50.75,8.95,4.5,1,14.0,0.5,716,30.5,25.25
1824,2025-06-13,LONG,22055.75,22043.75,12.0,30.25,36.5,10.14,3.75,2,8.25,10.75,718,19.0,36.75
1825,2025-06-13,LONG,22052.0,22043.75,8.25,30.25,36.5,10.54,14.0,1,6.5,7.0,719,22.75,33.0
1827,2025-06-13,LONG,22047.25,22043.75,3.5,25.0,30.25,10.41,2.75,1,7.0,3.75,721,27.5,28.25
1829,2025-06-13,LONG,22049.75,22043.75,6.0,20.75,30.25,10.68,4.0,2,4.75,6.25,723,25.0,30.75
1830,2025-06-13,LONG,22048.25,22043.75,4.5,20.75,30.25,10.5,7.75,1,1.5,5.25,724,26.5,29.25
1833,2025-06-13,LONG,22053.0,22043.75,9.25,17.75,30.25,10.57,1.25,1,3.25,8.5,727,21.75,34.0
1834,2025-06-13,LONG,22056.25,22043.75,12.5,18.25,30.25,10.68,9.5,2,14.75,12.25,728,18.5,37.25
1854,2025-06-13,LONG,22051.0,22043.75,7.25,22.5,27.5,9.12,11.25,1,9.25,8.0,748,13.25,76.75
1857,2025-06-13,LONG,22046.0,22043.75,2.25,29.25,39.25,8.82,2.25,4,6.75,1.25,751,18.25,71.75
1858,2025-06-13,LONG,22048.75,22043.75,5.0,18.0,39.25,9.0,4.0,1,2.25,1.0,752,15.5,74.5
1859,2025-06-13,LONG,22049.5,22043.75,5.75,16.0,39.25,9.11,1.25,1,9.25,6.75,753,14.75,75.25
1860,2025-06-13,LONG,22048.5,22043.75,4.75,16.0,37.0,8.79,1.75,1,4.0,5.25,754,15.75,74.25
1861,2025-06-13,LONG,22050.5,22043.75,6.75,16.5,34.25,8.36,0.5,1,5.75,6.75,755,13.75,76.25
1879,2025-06-13,LONG,22041.25,22043.75,2.5,24.75,25.0,7.68,3.75,2,22.75,0.25,773,23.0,72.5
1880,2025-06-13,LONG,22049.75,22043.75,6.0,36.25,36.5,8.32,12.75,3,22.25,6.0,774,14.5,81.0
1881,2025-06-13,LONG,22046.5,22043.75,2.75,36.25,36.5,8.09,8.5,4,18.5,4.25,775,17.75,77.75
1882,2025-06-13,LONG,22051.0,22043.75,7.25,30.0,36.5,8.0,1.75,1,9.5,9.75,776,13.25,82.25
1886,2025-06-13,LONG,22046.0,22043.75,2.25,19.25,45.25,8.61,13.0,1,13.0,4.25,780,8.5,77.25
1887,2025-06-13,LONG,22047.25,22043.75,3.5,21.75,45.25,8.88,2.25,2,15.25,5.25,781,7.25,78.5
1888,2025-06-13,LONG,22050.25,22043.75,6.5,21.75,45.25,8.57,3.0,1,1.25,6.0,782,4.25,81.5
